"","dia","tipo","numero","well","replica","factor1","factor2","factor3"
"41","D4","CLP","19","1","1","CLP_D4","CLP_D4_19","CLP_D4_19_1"
"42","D4","CLP","19","2","1","CLP_D4","CLP_D4_19","CLP_D4_19_2"
"43","D4","CLP","20","1","1","CLP_D4","CLP_D4_20","CLP_D4_20_1"
"44","D4","CLP","20","2","1","CLP_D4","CLP_D4_20","CLP_D4_20_2"
"45","D4","CLP","21","1","1","CLP_D4","CLP_D4_21","CLP_D4_21_1"
"46","D4","CLP","21","2","1","CLP_D4","CLP_D4_21","CLP_D4_21_2"
"47","D4","CLP","22","1","1","CLP_D4","CLP_D4_22","CLP_D4_22_1"
"48","D4","CLP","22","2","1","CLP_D4","CLP_D4_22","CLP_D4_22_2"
"49","D4","CLP","23","1","1","CLP_D4","CLP_D4_23","CLP_D4_23_1"
"50","D4","CLP","23","2","1","CLP_D4","CLP_D4_23","CLP_D4_23_2"
"51","D4","CLP","12","1","1","CLP_D4","CLP_D4_12","CLP_D4_12_1"
"52","D4","CLP","12","2","1","CLP_D4","CLP_D4_12","CLP_D4_12_2"
"53","D4","CLP","13","1","1","CLP_D4","CLP_D4_13","CLP_D4_13_1"
"54","D4","CLP","13","2","1","CLP_D4","CLP_D4_13","CLP_D4_13_2"
"55","D4","CLP","10","1","1","CLP_D4","CLP_D4_10","CLP_D4_10_1"
"56","D4","CLP","10","2","1","CLP_D4","CLP_D4_10","CLP_D4_10_2"
"57","D4","CLP","10","3","1","CLP_D4","CLP_D4_10","CLP_D4_10_3"
"58","D4","CLP","11","1","1","CLP_D4","CLP_D4_11","CLP_D4_11_1"
"59","D4","CLP","11","2","1","CLP_D4","CLP_D4_11","CLP_D4_11_2"
"60","D4","CLP","11","3","1","CLP_D4","CLP_D4_11","CLP_D4_11_3"
"61","D4","CLP","7","1","1","CLP_D4","CLP_D4_7","CLP_D4_7_1"
"62","D4","CLP","7","2","1","CLP_D4","CLP_D4_7","CLP_D4_7_2"
"63","D4","CLP","7","3","1","CLP_D4","CLP_D4_7","CLP_D4_7_3"
"64","D4","CLP","8","1","1","CLP_D4","CLP_D4_8","CLP_D4_8_1"
"65","D4","CLP","8","2","1","CLP_D4","CLP_D4_8","CLP_D4_8_2"
"66","D4","CLP","8","3","1","CLP_D4","CLP_D4_8","CLP_D4_8_3"
"67","D4","CLP","9","1","1","CLP_D4","CLP_D4_9","CLP_D4_9_1"
"68","D4","CLP","9","2","1","CLP_D4","CLP_D4_9","CLP_D4_9_2"
"69","D4","CLP","9","3","1","CLP_D4","CLP_D4_9","CLP_D4_9_3"
"70","D7","CLP","3","1","1","CLP_D7","CLP_D7_3","CLP_D7_3_1"
"71","D7","CLP","3","2","1","CLP_D7","CLP_D7_3","CLP_D7_3_2"
"72","D7","CLP","4","1","1","CLP_D7","CLP_D7_4","CLP_D7_4_1"
"73","D7","CLP","4","2","1","CLP_D7","CLP_D7_4","CLP_D7_4_2"
"74","D1","SH","1","1","1","SH_D1","SH_D1_1","SH_D1_1_1"
"75","D1","SH","1","2","1","SH_D1","SH_D1_1","SH_D1_1_2"
"76","D2","SH","5","1","1","SH_D2","SH_D2_5","SH_D2_5_1"
"77","D2","SH","5","2","1","SH_D2","SH_D2_5","SH_D2_5_2"
"78","D2","SH","1","1","1","SH_D2","SH_D2_1","SH_D2_1_1"
"79","D2","SH","1","2","1","SH_D2","SH_D2_1","SH_D2_1_2"
"80","D2","SH","1","3","1","SH_D2","SH_D2_1","SH_D2_1_3"
"81","D2","SH","2","1","1","SH_D2","SH_D2_2","SH_D2_2_1"
"82","D2","SH","2","2","1","SH_D2","SH_D2_2","SH_D2_2_2"
"83","D2","SH","2","3","1","SH_D2","SH_D2_2","SH_D2_2_3"
"84","D2","SH","3","1","1","SH_D2","SH_D2_3","SH_D2_3_1"
"85","D2","SH","3","2","1","SH_D2","SH_D2_3","SH_D2_3_2"
"86","D2","SH","3","3","1","SH_D2","SH_D2_3","SH_D2_3_3"
"87","D2","SH","4","1","1","SH_D2","SH_D2_4","SH_D2_4_1"
"88","D2","SH","4","2","1","SH_D2","SH_D2_4","SH_D2_4_2"
"89","D2","SH","4","3","1","SH_D2","SH_D2_4","SH_D2_4_3"
"90","D4","SH","11","1","1","SH_D4","SH_D4_11","SH_D4_11_1"
"91","D4","SH","11","2","1","SH_D4","SH_D4_11","SH_D4_11_2"
"92","D4","SH","12","1","1","SH_D4","SH_D4_12","SH_D4_12_1"
"93","D4","SH","12","2","1","SH_D4","SH_D4_12","SH_D4_12_2"
"94","D4","SH","13","1","1","SH_D4","SH_D4_13","SH_D4_13_1"
"95","D4","SH","13","2","1","SH_D4","SH_D4_13","SH_D4_13_2"
"96","D4","SH","14","1","1","SH_D4","SH_D4_14","SH_D4_14_1"
"97","D4","SH","14","2","1","SH_D4","SH_D4_14","SH_D4_14_2"
"98","D4","SH","15","1","1","SH_D4","SH_D4_15","SH_D4_15_1"
"99","D4","SH","15","2","1","SH_D4","SH_D4_15","SH_D4_15_2"
"100","D4","SH","16","1","1","SH_D4","SH_D4_16","SH_D4_16_1"
"101","D4","SH","16","2","1","SH_D4","SH_D4_16","SH_D4_16_2"
"102","D4","SH","17","1","1","SH_D4","SH_D4_17","SH_D4_17_1"
"103","D4","SH","17","2","1","SH_D4","SH_D4_17","SH_D4_17_2"
"104","D4","SH","10","1","1","SH_D4","SH_D4_10","SH_D4_10_1"
"105","D4","SH","10","2","1","SH_D4","SH_D4_10","SH_D4_10_2"
"106","D4","SH","10","3","1","SH_D4","SH_D4_10","SH_D4_10_3"
"107","D4","SH","5","1","1","SH_D4","SH_D4_5","SH_D4_5_1"
"108","D4","SH","5","2","1","SH_D4","SH_D4_5","SH_D4_5_2"
"109","D4","SH","5","3","1","SH_D4","SH_D4_5","SH_D4_5_3"
"110","D4","SH","6","1","1","SH_D4","SH_D4_6","SH_D4_6_1"
"111","D4","SH","6","2","1","SH_D4","SH_D4_6","SH_D4_6_2"
"112","D4","SH","6","3","1","SH_D4","SH_D4_6","SH_D4_6_3"
"113","D4","SH","7","1","1","SH_D4","SH_D4_7","SH_D4_7_1"
"114","D4","SH","7","2","1","SH_D4","SH_D4_7","SH_D4_7_2"
"115","D4","SH","7","3","1","SH_D4","SH_D4_7","SH_D4_7_3"
"116","D4","SH","8","1","1","SH_D4","SH_D4_8","SH_D4_8_1"
"117","D4","SH","8","2","1","SH_D4","SH_D4_8","SH_D4_8_2"
"118","D4","SH","8","3","1","SH_D4","SH_D4_8","SH_D4_8_3"
"119","D4","SH","9","1","1","SH_D4","SH_D4_9","SH_D4_9_1"
"120","D4","SH","9","2","1","SH_D4","SH_D4_9","SH_D4_9_2"
"121","D4","SH","9","3","1","SH_D4","SH_D4_9","SH_D4_9_3"
"122","D7","SH","1","1","3","SH_D7","SH_D7_1","SH_D7_1_1"
